"samples","Endothelial","Immune (Macrophages)","Acinar","Active Stellate","Quiescent Stellate","Cycling Alpha","Alpha","Gamma + Epsilon","MUC5B+ Ductal","Delta","Beta","Ductal"
"HP-21070-01__DHT_10nM",29,21,191,60,12,18,1008,67,25,52,1414,268
"HP-21070-01__EtOH",27,15,81,10,11,10,1255,46,32,23,1314,99
"HP-21077-01__DHT_10nM",4,17,90,387,163,12,606,94,45,38,304,1209
"HP-21077-01__EtOH",31,38,149,392,110,14,718,111,35,40,393,1873
"HP-21079-01__DHT_10nM",5,27,69,68,29,15,1034,45,4,120,1241,65
"HP-21079-01__EtOH",10,32,57,106,30,19,892,24,7,84,880,95
"HP-21337-01__18_hr_NMMA",12,41,45,81,11,4,1154,12,30,47,1079,105
"HP-21337-01__18hr_IL-1b+IFN-g",4,24,17,11,4,4,796,13,8,21,821,60
"HP-21337-01__18hr_IL-1b+IFN-g+NMMA",8,31,18,48,7,4,1001,20,4,21,727,21
"HP-21337-01__6hr_IFN-g",43,43,54,103,12,8,850,21,29,45,706,124
"HP-21337-01__6hr_IL-1b",14,30,39,86,5,6,719,34,102,26,681,71
"HP-21337-01__6hr_IL-1b+IFN-g",13,22,47,66,14,9,1146,26,19,23,1117,101
"HP-21337-01__Untreated",13,18,10,96,5,4,751,25,14,16,545,122
"HP-22234-01__18_hr_NMMA",2,7,3,90,3,4,964,107,0,24,98,4
"HP-22234-01__18hr_IL-1b",1,10,18,37,2,7,850,162,1,18,130,15
"HP-22234-01__18hr_IL-1b+IFN-g",2,6,11,14,5,7,1147,204,2,22,137,33
"HP-22234-01__18hr_IL-1b+IFN-g+NMMA",0,5,30,9,1,4,866,179,38,22,111,75
"HP-22234-01__6hr_IFN-g",0,8,44,148,3,9,1124,178,4,20,209,53
"HP-22234-01__6hr_IL-1b",1,24,48,76,3,7,1178,117,5,14,158,44
"HP-22234-01__6hr_IL-1b+IFN-g",5,5,38,27,2,9,706,101,2,15,146,21
"HP-22234-01__Untreated",2,15,48,99,1,6,884,98,1,9,128,18
"HP-23135-01__18_hr_NMMA",3,0,135,253,26,5,558,0,4,13,245,77
"HP-23135-01__18hr_IL-1b",20,15,19,149,12,2,319,6,0,28,136,17
"HP-23135-01__18hr_IL-1b+IFN-g",23,6,62,140,7,2,383,19,4,39,159,37
"HP-23135-01__18hr_IL-1b+IFN-g+NMMA",7,3,16,120,23,5,287,8,0,29,107,15
"HP-23135-01__6hr_IFN-g",4,14,115,332,36,7,607,1,4,23,201,48
"HP-23135-01__6hr_IL-1b",4,19,12,136,15,4,399,0,1,13,132,22
"HP-23135-01__6hr_IL-1b+IFN-g",49,0,87,274,27,5,586,15,5,45,198,65
"HP-23135-01__Untreated",2,0,20,144,18,4,148,3,0,7,36,7
"HP18306-01__no_treatment",8,1,310,45,13,2,529,131,111,88,348,929
"HPAP-019",10,11,0,222,8,2,117,2,0,41,1531,8
"HPAP-020",54,19,2180,38,11,10,458,15,117,5,54,2057
"HPAP-021",0,5,1021,2,0,3,389,26,43,16,0,1674
"HPAP-022",2,26,1,191,5,1,1394,9,8,84,277,34
"HPAP-022__rep1__no_treatment",20,8,0,228,11,2,1943,3,0,41,614,5
"HPAP-022__rep2__no_treatment",6,13,0,71,7,1,2093,4,0,66,595,1
"HPAP-022__rep3__no_treatment",10,11,0,111,7,3,2388,3,0,2,632,1
"HPAP-023",10,1,51,18,2,1,27,10,17,0,2,228
"HPAP-024",2,0,751,0,0,0,32,6,9,3,0,211
"HPAP-026",0,0,80,0,0,0,64,5,0,2,12,0
"HPAP-028",13,36,1346,63,1,1,462,33,7,20,313,395
"HPAP-029",0,0,74,3,1,1,402,66,5,26,263,251
"HPAP-032",42,30,897,4,0,0,20,0,6,1,0,364
"HPAP-034",0,0,139,1,1,1,35,3,18,1,16,50
"HPAP-035",4,5,163,6,1,0,462,4,0,16,227,3
"HPAP-036",4,5,406,1,1,0,246,2,4,27,150,84
"HPAP-037",1,9,1182,28,0,1,183,2,12,15,161,182
