contrast_id,contrast_var,donor_col,control_grp,experimental_grp,subset_on1,subset_on2,subset1,subset2,covariates,correlate_vars,scale,file_pattern,assay
ND_vs_T1D,diabetes.status.description,samples,NonDiabetic,T1DM,diabetes.status.description,NA,NonDiabetic_T1DM,NA,age_sex_bmi_ethnicity_chemistry,diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
ND_vs_T2D,diabetes.status.description,samples,NonDiabetic,T2DM,diabetes.status.description,NA,NonDiabetic_T2DM,NA,age_sex_bmi_ethnicity_chemistry,diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
age,age,samples,NA,NA,diabetes.status.description,NA,NonDiabetic,NA,sex_bmi_ethnicity_chemistry,age_sex_bmi_ethnicity_chemistry_diabetes.status.description,FALSE,_sample_gex_total_counts.txt,RNA
sex,sex,samples,Male,Female,diabetes.status.description,NA,NonDiabetic,NA,age_bmi_ethnicity_chemistry,sex_age_bmi_ethnicity_chemistry_diabetes.status.description,FALSE,_sample_gex_total_counts.txt,RNA
BMI,bmi,samples,NA,NA,diabetes.status.description,NA,NonDiabetic,NA,age_sex_ethnicity_chemistry,bmi_age_sex_ethnicity_diabetes.status.description,FALSE,_sample_gex_total_counts.txt,RNA
AAB+_status,aab,samples,0,AAB+,diabetes.status.description,NA,NonDiabetic_AAB+,NA,age_sex_bmi_ethnicity_chemistry,aab_diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
AAB_GADA,only.aab.gada,samples,FALSE,TRUE,diabetes.status.description,multi.aab,NonDiabetic_AAB+,FALSE,age_sex_bmi_ethnicity_chemistry,aab.gada_diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
AAB_IA2,only.aab.ia.2,samples,FALSE,TRUE,diabetes.status.description,multi.aab,NonDiabetic_AAB+,FALSE,age_sex_bmi_ethnicity_chemistry,aab.ia.2_diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
AAB_IAA,only.aab.iaa,samples,FALSE,TRUE,diabetes.status.description,multi.aab,NonDiabetic_AAB+,FALSE,age_sex_bmi_ethnicity_chemistry,aab.iaa_diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
AAB_ZNT8,only.aab.znt8,samples,FALSE,TRUE,diabetes.status.description,multi.aab,NonDiabetic_AAB+,FALSE,age_sex_bmi_ethnicity_chemistry,aab.znt8_diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
Multi_AAB,multi.aab,samples,FALSE,TRUE,diabetes.status.description,NA,NonDiabetic_AAB+,NA,age_sex_bmi_ethnicity_chemistry,number.aab_diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
C_peptide,c.peptide,samples,NA,NA,diabetes.status.description,NA,NonDiabetic,NA,age_sex_bmi_ethnicity_chemistry,pan.kbase.c.peptide.ng.ml_diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
HbA1c,hb.a1c,samples,NA,NA,diabetes.status.description,NA,NonDiabetic,NA,age_sex_bmi_ethnicity_chemistry,pan.kbase.hb.a1c.percentage_diabetes.status.description_age_sex_bmi_ethnicity_chemistry,FALSE,_sample_gex_total_counts.txt,RNA
